data_name,shank,algorithm,mean_FNR,mean_FPR,weighted_FNR,weighted_FPR,stability
mC41_33,1,3PC Mahalanobis,64.9056093796826,30.1228710974298,45.7053087301921,1.58589797325854,unstable
mC41_33,1,3PC DT,55.7382029656002,39.3442377050139,7.23487873565634,5.85508605233081,unstable
mC41_33,1,2PC Mahalanobis,67.1412242134099,30.35908477268,48.9533857341011,1.73076147664852,unstable
mC41_33,1,2PC DT,55.4594051888535,38.2683136660412,7.16447396074146,5.80260354216898,unstable
mC41_33,1,FSDE Mahalanobis,69.0816115107296,38.2932069292818,53.9836492791392,3.96464860743841,unstable
mC41_33,1,FSDE DT,64.4803803969417,34.2133028401138,9.70535076289353,9.17967613322223,unstable
mC41_33,1,DT samples Mahalanobis,61.8935128640562,30.261710382933,48.0749022739692,1.719075006679,unstable
mC41_33,1,DT,52.6073119974197,36.9593170088431,5.87617166155269,5.03518054840666,unstable
mC41_33,2,3PC Mahalanobis,53.5704406321498,19.7536590879247,52.7030781197911,5.71145649702805,stable
mC41_33,2,3PC DT,60.1689100949609,34.1570856594231,22.9442160240027,19.1024713416981,stable
mC41_33,2,2PC Mahalanobis,50.2032511062708,21.3920405827627,57.9592176908545,6.08513116274267,stable
mC41_33,2,2PC DT,60.1562451148079,34.6601753566208,23.0275586176242,19.1038382503374,stable
mC41_33,2,FSDE Mahalanobis,67.0650227769112,47.1736232616277,53.4781642404712,23.1511972611326,stable
mC41_33,2,FSDE DT,73.2552329070906,30.3892105245221,39.2515835092788,32.6020496997344,stable
mC41_33,2,DT samples Mahalanobis,46.9726378788558,18.9336712572516,36.2845871763529,5.62464974743729,stable
mC41_33,2,DT,57.2817519465851,27.4678382127415,18.9548838759862,19.1242033292952,stable
mC41_33,3,3PC Mahalanobis,49.1216496652128,15.2711235807829,80.5264240180958,1.20889752482827,stable
mC41_33,3,3PC DT,43.4031649602136,19.529261690705,3.09685379395435,3.295851421684,stable
mC41_33,3,2PC Mahalanobis,49.7558109797444,14.9587478420917,81.3078346699568,1.15411036567635,stable
mC41_33,3,2PC DT,43.7508606613195,19.9434680926826,3.38885461649188,3.45986348571384,stable
mC41_33,3,FSDE Mahalanobis,66.3620308983359,41.4008660268768,77.5529508533827,3.99540186780431,stable
mC41_33,3,FSDE DT,63.4766818193365,35.1391541758973,8.04030433888546,8.98700167904842,stable
mC41_33,3,DT samples Mahalanobis,49.0526304290368,14.1778089345335,81.5916101172116,1.07300286220253,stable
mC41_33,3,DT,41.507805613715,27.9846536808978,2.76783878264446,2.79395442106762,stable
mC41_33,4,3PC Mahalanobis,39.8280019521346,25.6242389044181,54.4891415245591,1.71075819437536,unstable
mC41_33,4,3PC DT,55.3073239124606,31.769418668474,4.72234368167905,4.55715522436095,unstable
mC41_33,4,2PC Mahalanobis,35.8512884508397,28.3578625606042,49.3313656901326,1.83243562554198,unstable
mC41_33,4,2PC DT,54.6955870181395,30.7248674347328,4.58387990088908,4.25328277161453,unstable
mC41_33,4,FSDE Mahalanobis,78.1075940788807,44.8816915991964,87.5746975659525,4.979131115181,unstable
mC41_33,4,FSDE DT,60.2936070800541,37.9647874541879,7.45518146042851,5.24948873725357,unstable
mC41_33,4,DT samples Mahalanobis,49.9191872803363,25.2042532401293,57.0816936306661,1.66254703590344,unstable
mC41_33,4,DT,55.1804587673578,24.5381542473981,4.47456638973911,4.14039286076607,unstable
mC41_12,1,3PC Mahalanobis,40.9407554393246,16.3608824431683,30.8165258863414,6.1052238403509,unstable
mC41_12,1,3PC DT,32.9300970699123,20.931436277675,13.9746020801011,14.4830890067649,unstable
mC41_12,1,2PC Mahalanobis,39.9513619346747,16.3386452679159,30.0982589208757,6.14333319458855,unstable
mC41_12,1,2PC DT,32.9737614088486,21.0156737443994,13.9688559443774,14.5020704150069,unstable
mC41_12,1,FSDE Mahalanobis,45.4766190300222,30.363972392631,33.4425099120841,20.2245456151387,unstable
mC41_12,1,FSDE DT,50.8714116023413,29.7707437144686,30.7705568005516,25.5817034043658,unstable
mC41_12,1,DT samples Mahalanobis,39.1239609543001,16.8747416520668,28.9432856404068,6.7856512404601,unstable
mC41_12,1,DT,27.4322539874537,17.0733507667135,10.6820663104063,10.7375921734673,unstable
mC41_12,2,3PC Mahalanobis,25,0.118483412322275,0.198019801980198,0.197081319506358,unstable
mC41_12,2,3PC DT,26.6695146958305,2.2372977786573,2.57425742574257,2.55561928824357,unstable
mC41_12,2,2PC Mahalanobis,25.109649122807,0.235849056603774,0.396039603960396,0.392303381281524,unstable
mC41_12,2,2PC DT,26.6695146958305,2.2372977786573,2.57425742574257,2.55561928824357,unstable
mC41_12,2,FSDE Mahalanobis,37.1536796536797,12.7071588703547,17.8217821782178,14.2864959398113,unstable
mC41_12,2,FSDE DT,32.910970608339,10.0624556602817,9.7029702970297,9.17388595046796,unstable
mC41_12,2,DT samples Mahalanobis,25,0.118483412322275,0.198019801980198,0.197081319506358,unstable
mC41_12,2,DT,26.3721804511278,2.702054889856,2.57425742574257,2.5024026719123,unstable
mC41_12,4,3PC Mahalanobis,31.9578834558361,19.560871264504,5.6203164029975,0.472521435650368,stable
mC41_12,4,3PC DT,33.6605296099499,27.2224113777043,0.950295043985085,0.905085840297655,stable
mC41_12,4,2PC Mahalanobis,30.7945836627469,19.4537203597731,10.7718205842957,0.465571265146602,stable
mC41_12,4,2PC DT,34.9951264926563,27.6210468008986,0.89599247004308,0.861144504595346,stable
mC41_12,4,FSDE Mahalanobis,51.1014370776211,21.7469270741265,1.60554610288528,0.768960601793988,stable
