stability,algorithm,mean_FNR_mean,mean_FNR_median,mean_FPR_mean,mean_FPR_median,weighted_FNR_mean,weighted_FNR_median,weighted_FPR_mean,weighted_FPR_median
stable,2PC DT,46.3007440895945,43.7508606613195,27.4082300834006,27.6210468008986,9.10413523471971,3.38885461649188,7.80828208021551,3.45986348571384
stable,2PC Mahalanobis,43.5845485829207,49.7558109797444,18.6015029282092,19.4537203597731,50.012957648369,57.9592176908545,2.56827093118854,1.15411036567635
stable,3PC DT,45.7442015550415,43.4031649602136,26.9695862426108,27.2224113777043,8.99712162064737,3.09685379395435,7.76780286789326,3.295851421684
stable,3PC Mahalanobis,44.8833245843996,49.1216496652128,18.1952179777372,19.560871264504,46.2832728469615,52.7030781197911,2.4642918191689,1.20889752482827
stable,DT,38.8158788631754,41.507805613715,23.694525969589,27.4678382127415,7.3766639877319,2.76783878264446,7.44349926240766,2.79395442106762
stable,DT samples Mahalanobis,46.0157939086793,46.9726378788558,17.6118358962494,18.9336712572516,39.7675149674804,36.2845871763529,2.42217807313744,1.07300286220253
stable,FSDE DT,61.0304706447692,63.4766818193365,35.7506939933384,35.1391541758973,16.1229629660047,8.04030433888546,14.2212533958015,8.98700167904842
stable,FSDE Mahalanobis,61.5094969176228,66.3620308983359,36.7738054542103,41.4008660268768,44.212220398913,53.4781642404712,9.30518657691029,3.99540186780431
unstable,2PC DT,42.449567077918,43.8346742134941,23.0615381559577,25.8702705895661,7.07286680793763,5.87417693081527,6.77839400425849,5.02794315689176
unstable,2PC Mahalanobis,42.0133809304328,37.9013251927572,18.822860414451,22.3482539142601,32.1947624872675,39.5258223274884,2.52470841951514,1.78159855109525
unstable,3PC DT,42.6612846609509,44.1187104911864,23.570597607455,26.3504274730745,7.12652048079477,5.9786112086677,6.86273739292506,5.20612063834588
unstable,3PC Mahalanobis,42.6685916927855,40.3843786957296,18.0566189643346,20.9925606737932,32.8022489857682,38.2609173082668,2.39974033187279,1.64832808381695
unstable,DT,40.3980513008398,40.0197829924367,20.3182192282027,20.8057525070558,5.90176544686015,5.1753690256459,5.60389206363808,4.58778670458637
unstable,DT samples Mahalanobis,43.9841652746731,44.5215741173182,18.1147971718628,21.039497446098,33.5744753367556,38.509093957188,2.59108865063723,1.69081102129122
unstable,FSDE DT,52.139092421919,55.5825093411977,28.002822417263,31.9920232772912,14.4085148302258,9.70416052996162,12.2961885563274,9.17678104184509
unstable,FSDE Mahalanobis,57.454876068328,57.2791152703759,31.561507447866,34.3285896609564,48.2056597338484,43.7130795956116,10.8637053193924,9.63281352749613
